SWMM5 LID Report File

Project:  
LID Unit: SWALE in Subcatchment SWALE

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 04/07/2016 07:00:00	    7.000	    0.277	   0.0038	    0.300	    0.000	    0.000	    0.270	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:05:00	    7.083	    0.307	   0.0038	    0.330	    0.000	    0.000	    0.297	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:10:00	    7.167	    0.310	   0.0038	    0.336	    0.000	    0.000	    0.302	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:15:00	    7.250	    0.311	   0.0038	    0.340	    0.000	    0.000	    0.306	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:20:00	    7.333	    0.312	   0.0038	    0.340	    0.000	    0.000	    0.306	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:25:00	    7.417	    0.312	   0.0038	    0.339	    0.000	    0.000	    0.305	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:30:00	    7.500	    0.312	   0.0038	    0.338	    0.000	    0.000	    0.305	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:35:00	    7.583	    0.342	   0.0038	    0.369	    0.000	    0.000	    0.332	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 07:40:00	    7.667	    0.345	   0.0038	    0.375	    0.000	    0.000	    0.337	   0.003	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 07:45:00	    7.750	    0.346	   0.0038	    0.378	    0.000	    0.000	    0.340	   0.004	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 07:50:00	    7.833	    0.347	   0.0038	    0.378	    0.000	    0.000	    0.341	   0.004	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 07:55:00	    7.917	    0.347	   0.0038	    0.377	    0.000	    0.000	    0.339	   0.003	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 08:00:00	    8.000	    0.347	   0.0038	    0.377	    0.000	    0.000	    0.339	   0.003	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:05:00	    8.083	    0.423	   0.0038	    0.453	    0.000	    0.000	    0.408	   0.003	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:10:00	    8.167	    0.431	   0.0038	    0.466	    0.000	    0.000	    0.420	   0.004	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:15:00	    8.250	    0.433	   0.0038	    0.475	    0.000	    0.000	    0.427	   0.006	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:20:00	    8.333	    0.434	   0.0038	    0.475	    0.000	    0.000	    0.428	   0.006	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:25:00	    8.417	    0.434	   0.0038	    0.472	    0.000	    0.000	    0.425	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:30:00	    8.500	    0.434	   0.0038	    0.471	    0.000	    0.000	    0.424	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 08:35:00	    8.583	    0.589	   0.0038	    0.627	    0.000	    0.000	    0.565	   0.005	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 08:40:00	    8.667	    0.604	   0.0038	    0.653	    0.000	    0.000	    0.587	   0.007	    0.000	    0.005	    0.000	    0.000	    0.000
 04/07/2016 08:45:00	    8.750	    0.608	   0.0038	    0.669	    0.000	    0.000	    0.602	   0.010	    0.000	    0.005	    0.000	    0.000	    0.000
 04/07/2016 08:50:00	    8.833	    0.609	   0.0038	    0.668	    0.000	    0.000	    0.602	   0.010	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 08:55:00	    8.917	    0.609	   0.0038	    0.661	    0.000	    0.000	    0.595	   0.008	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 09:00:00	    9.000	    0.609	   0.0038	    0.659	    0.000	    0.000	    0.593	   0.008	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 09:05:00	    9.083	    0.831	   0.0038	    0.885	    0.000	    0.000	    0.796	   0.009	    0.000	    0.006	    0.000	    0.000	    0.000
 04/07/2016 09:10:00	    9.167	    0.850	   0.0038	    0.919	    0.000	    0.000	    0.827	   0.013	    0.000	    0.007	    0.000	    0.000	    0.000
 04/07/2016 09:15:00	    9.250	    0.853	   0.0038	    0.938	    0.000	    0.000	    0.844	   0.018	    0.000	    0.007	    0.000	    0.000	    0.000
 04/07/2016 09:20:00	    9.333	    0.854	   0.0038	    0.935	    0.000	    0.000	    0.841	   0.017	    0.000	    0.006	    0.000	    0.000	    0.000
 04/07/2016 09:25:00	    9.417	    0.854	   0.0038	    0.923	    0.000	    0.000	    0.831	   0.013	    0.000	    0.006	    0.000	    0.000	    0.000
 04/07/2016 09:30:00	    9.500	    0.854	   0.0038	    0.923	    0.000	    0.000	    0.830	   0.013	    0.000	    0.006	    0.000	    0.000	    0.000
 04/07/2016 09:35:00	    9.583	    3.602	   0.0038	    3.678	    0.000	    0.000	    3.310	   0.015	    0.000	    0.019	    0.000	    0.000	    0.000
 04/07/2016 09:40:00	    9.667	    3.701	   0.0038	    3.868	    0.000	    0.000	    3.482	   0.098	    0.000	    0.037	    0.000	    0.000	    0.000
