1,'HPD'
2,'GREENSBORO,HIGH P, NC'
3,313630,313630,0,0,0,0,0,0,0,0
4,1948,07,1952,12
9,25,95,'I','0'
8,949,1,6,'HI',4
9,2,20,'A','0'
9,3,0,'A','0'
9,8,2,'A','0'
9,25,22,'I','0'
8,949,1,18,'HI',6
9,3,0,'A','0'
9,8,1,'A','0'
9,9,0,'A','0'
9,15,1,'A','0'
9,21,0,'A','0'
9,25,2,'I','0'
8,949,1,19,'HI',4
9,2,2,'A','0'
9,15,0,'A','0'
9,20,1,'A','0'
9,25,3,'I','0'
8,949,1,21,'HI',7
9,3,0,'A','0'
9,8,21,'A','0'
9,9,0,'A','0'
9,14,12,'A','0'
9,15,0,'A','0'
9,20,4,'A','0'
9,25,37,'I','0'
8,949,1,22,'HI',3
9,3,0,'A','0'
9,8,2,'A','0'
9,25,2,'I','0'
8,949,1,23,'HI',7
9,3,0,'A','0'
9,8,2,'A','0'
9,9,0,'A','0'
9,14,1,'A','0'
9,15,0,'A','0'
9,20,1,'A','0'
9,25,4,'I','0'
8,949,1,27,'HI',5
9,9,0,'A','0'
9,14,2,'A','0'
9,15,0,'A','0'
9,20,5,'A','0'
9,25,7,'I','0'
8,949,1,28,'HI',5
9,3,0,'A','0'
9,8,6,'A','0'
9,9,0,'A','0'
9,14,1,'A','0'
9,25,7,'I','0'
8,949,1,30,'HI',4
9,15,0,'A','0'
9,20,2,'A','0'
9,21,0,'A','0'
9,25,2,'I','0'
8,949,1,31,'HI',6
9,2,33,'A','0'
9,3,0,'A','0'
9,8,49,'A','0'
9,9,0,'A','0'
9,14,11,'A','0'
9,25,93,'I','0'
8,949,2,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,2,7,'HI',6
9,2,16,'0','0'
9,3,12,'0','0'
9,4,6,'0','0'
9,5,2,'0','0'
9,7,1,'0','0'
9,25,37,'0','0'
8,949,2,9,'HI',9
9,2,2,'0','0'
9,3,3,'0','0'
9,8,1,'0','0'
9,11,1,'0','0'
9,21,4,'0','0'
9,22,8,'0','0'
9,23,13,'0','0'
9,24,7,'0','0'
9,25,39,'0','0'
8,949,2,10,'HI',12
9,1,4,'0','0'
9,2,1,'0','0'
9,3,2,'0','0'
9,4,2,'0','0'
9,5,5,'0','0'
9,6,4,'0','0'
9,7,3,'0','0'
9,8,5,'0','0'
9,9,3,'0','0'
9,11,2,'0','0'
9,14,4,'0','0'
9,25,35,'0','0'
8,949,2,15,'HI',6
9,20,4,'0','0'
9,21,6,'0','0'
9,22,7,'0','0'
9,23,2,'0','0'
9,24,7,'0','0'
9,25,26,'0','0'
8,949,2,16,'HI',13
9,1,3,'0','0'
9,5,1,'0','0'
9,10,1,'0','0'
9,11,2,'0','0'
9,12,1,'0','0'
9,13,4,'0','0'
9,14,9,'0','0'
9,15,8,'0','0'
9,16,10,'0','0'
9,17,10,'0','0'
9,19,1,'0','0'
9,20,1,'0','0'
9,25,51,'0','0'
8,949,2,19,'HI',14
9,8,4,'0','0'
9,9,5,'0','0'
9,10,4,'0','0'
9,11,7,'0','0'
9,12,9,'0','0'
9,13,6,'0','0'
9,14,3,'0','0'
9,16,9,'0','0'
9,17,5,'0','0'
9,19,4,'0','0'
9,20,6,'0','0'
9,21,2,'0','0'
9,22,3,'0','0'
9,25,67,'0','0'
8,949,2,20,'HI',2
9,2,1,'0','0'
9,25,1,'0','0'
8,949,2,22,'HI',4
9,11,1,'0','0'
9,12,2,'0','0'
9,15,1,'0','0'
9,25,4,'0','0'
8,949,2,27,'HI',9
9,14,1,'0','0'
9,17,1,'0','0'
9,19,4,'0','0'
9,20,5,'0','0'
9,21,10,'0','0'
9,22,7,'0','0'
9,23,6,'0','0'
9,24,1,'0','0'
9,25,35,'0','0'
8,949,3,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,3,6,'HI',4
9,15,0,'A','0'
9,20,2,'A','0'
9,21,0,'A','0'
9,25,2,'I','0'
8,949,3,7,'HI',2
9,2,1,'A','0'
9,25,1,'I','0'
8,949,3,10,'HI',7
9,3,0,'A','0'
9,8,14,'A','0'
9,9,0,'A','0'
9,14,23,'A','0'
9,15,0,'A','0'
9,20,13,'A','0'
9,25,50,'I','0'
8,949,3,17,'HI',2
9,21,0,'A','0'
9,25,0,'I','0'
8,949,3,18,'HI',8
9,2,10,'A','0'
9,3,0,'A','0'
9,8,14,'A','0'
9,9,0,'A','0'
9,14,7,'A','0'
9,15,0,'A','0'
9,20,2,'A','0'
9,25,33,'I','0'
8,949,3,22,'HI',6
9,9,0,'A','0'
9,14,9,'A','0'
9,15,0,'A','0'
9,20,31,'A','0'
9,21,0,'A','0'
9,25,40,'I','0'
8,949,3,23,'HI',4
9,2,54,'A','0'
9,3,0,'A','0'
9,8,1,'A','0'
9,25,55,'I','0'
8,949,3,25,'HI',3
9,9,0,'A','0'
9,14,40,'A','0'
9,25,40,'I','0'
8,949,3,26,'HI',3
9,9,0,'A','0'
9,14,1,'A','0'
9,25,1,'I','0'
8,949,3,28,'HI',7
9,3,0,'A','0'
9,8,1,'A','0'
9,9,0,'A','0'
9,14,2,'A','0'
9,15,0,'A','0'
9,20,13,'A','0'
9,25,16,'I','0'
8,949,3,31,'HI',5
9,3,0,'A','0'
9,8,1,'A','0'
9,9,0,'A','0'
9,14,6,'A','0'
9,25,7,'I','0'
8,949,4,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,4,3,'HI',3
9,17,1,'0','0'
9,18,1,'0','0'
9,25,2,'0','0'
8,949,4,5,'HI',12
9,11,2,'0','0'
9,12,9,'0','0'
9,13,1,'0','0'
9,14,4,'0','0'
9,15,6,'0','0'
9,16,32,'0','0'
9,17,3,'0','0'
9,18,6,'0','0'
9,19,2,'0','0'
9,21,2,'0','0'
9,22,1,'0','0'
9,25,68,'0','0'
8,949,4,7,'HI',4
9,10,2,'0','0'
9,11,1,'0','0'
9,17,2,'0','0'
9,25,5,'0','0'
8,949,4,11,'HI',14
9,10,2,'0','0'
9,12,0,'M','0'
9,13,12,'M','0'
9,14,4,'0','0'
9,15,2,'0','0'
9,16,1,'0','0'
9,17,8,'0','0'
9,18,12,'0','0'
9,19,6,'0','0'
9,20,4,'0','0'
9,21,2,'0','0'
9,22,4,'0','0'
9,23,1,'0','0'
9,25,58,'I','0'
8,949,4,12,'HI',12
9,2,3,'0','0'
9,3,1,'0','0'
9,8,1,'0','0'
9,14,2,'0','0'
9,15,6,'0','0'
9,16,10,'0','0'
9,17,4,'0','0'
9,19,1,'0','0'
9,20,3,'0','0'
9,21,1,'0','0'
9,23,1,'0','0'
9,25,33,'0','0'
8,949,4,13,'HI',5
9,2,4,'0','0'
9,3,1,'0','0'
9,10,1,'0','0'
9,14,7,'0','0'
9,25,13,'0','0'
8,949,4,22,'HI',10
9,4,1,'0','0'
9,6,1,'0','0'
9,7,3,'0','0'
9,8,8,'0','0'
9,9,7,'0','0'
9,10,4,'0','0'
9,11,25,'0','0'
9,12,22,'0','0'
9,13,2,'0','0'
9,25,73,'0','0'
8,949,4,27,'HI',5
9,18,1,'0','0'
9,20,12,'0','0'
9,21,22,'0','0'
9,22,7,'0','0'
9,25,42,'0','0'
8,949,4,28,'HI',7
9,1,1,'0','0'
9,2,1,'0','0'
9,5,1,'0','0'
9,6,1,'0','0'
9,7,1,'0','0'
9,8,1,'0','0'
9,25,6,'0','0'
8,949,4,30,'HI',18
9,3,3,'0','0'
9,4,2,'0','0'
9,5,2,'0','0'
9,6,2,'0','0'
9,7,5,'0','0'
9,8,1,'0','0'
9,9,3,'0','0'
9,10,3,'0','0'
9,11,1,'0','0'
9,15,14,'0','0'
9,16,7,'0','0'
9,17,2,'0','0'
9,20,6,'0','0'
9,21,11,'0','0'
9,22,15,'0','0'
9,23,7,'0','0'
9,24,8,'0','0'
9,25,92,'0','0'
8,949,5,1,'HI',8
9,1,4,'0','0'
9,2,2,'0','0'
9,3,2,'0','0'
9,5,2,'0','0'
9,6,4,'0','0'
9,7,18,'0','0'
9,8,2,'0','0'
9,25,34,'0','0'
8,949,5,2,'HI',3
9,19,25,'0','0'
9,20,2,'0','0'
9,25,27,'0','0'
8,949,5,7,'HI',2
9,15,6,'0','0'
9,25,6,'0','0'
8,949,5,9,'HI',6
9,17,24,'0','0'
9,18,1,'0','0'
9,22,7,'0','0'
9,23,6,'0','0'
9,24,1,'0','0'
9,25,39,'0','0'
8,949,5,10,'HI',5
9,19,5,'0','0'
9,20,8,'0','0'
9,23,2,'0','0'
9,24,1,'0','0'
9,25,16,'0','0'
8,949,5,11,'HI',10
9,5,2,'0','0'
9,6,2,'0','0'
9,7,7,'0','0'
9,8,5,'0','0'
9,9,1,'0','0'
9,10,2,'0','0'
9,11,4,'0','0'
9,12,1,'0','0'
9,13,1,'0','0'
9,25,25,'0','0'
8,949,5,16,'HI',8
9,2,10,'0','0'
9,3,8,'0','0'
9,5,1,'0','0'
9,6,1,'0','0'
9,22,4,'0','0'
9,23,15,'0','0'
9,24,18,'0','0'
9,25,57,'0','0'
8,949,5,17,'HI',2
9,1,1,'0','0'
9,25,1,'0','0'
8,949,5,22,'HI',6
9,2,1,'0','0'
9,8,1,'0','0'
9,21,6,'0','0'
9,22,14,'0','0'
9,24,42,'0','0'
9,25,64,'0','0'
8,949,5,23,'HI',2
9,1,5,'0','0'
9,25,5,'0','0'
8,949,5,24,'HI',2
9,19,7,'0','0'
9,25,7,'0','0'
8,949,5,25,'HI',2
9,4,1,'0','0'
9,25,1,'0','0'
8,949,5,26,'HI',3
9,16,13,'0','0'
9,17,4,'0','0'
9,25,17,'0','0'
8,949,5,31,'HI',4
9,8,4,'0','0'
9,9,2,'0','0'
9,11,1,'0','0'
9,25,7,'0','0'
8,949,6,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,6,13,'HI',2
9,20,3,'0','0'
9,25,3,'0','0'
8,949,6,14,'HI',3
9,13,2,'0','0'
9,20,4,'0','0'
9,25,6,'0','0'
8,949,6,15,'HI',8
9,11,0,'M','0'
9,13,1,'M','0'
9,14,4,'0','0'
9,16,6,'0','0'
9,18,2,'0','0'
9,19,19,'0','0'
9,20,1,'0','0'
9,25,33,'I','0'
8,949,6,16,'HI',5
9,14,2,'0','0'
9,19,1,'0','0'
9,23,4,'0','0'
9,24,5,'0','0'
9,25,12,'0','0'
8,949,6,17,'HI',3
9,1,1,'0','0'
9,3,1,'0','0'
9,25,2,'0','0'
8,949,6,25,'HI',3
9,16,2,'0','0'
9,17,35,'0','0'
9,25,37,'0','0'
8,949,6,27,'HI',5
9,20,18,'0','0'
9,22,11,'0','0'
9,23,10,'0','0'
9,24,5,'0','0'
9,25,44,'0','0'
8,949,6,28,'HI',2
9,1,1,'0','0'
9,25,1,'0','0'
8,949,6,29,'HI',5
9,3,15,'0','0'
9,13,1,'0','0'
9,14,1,'0','0'
9,21,1,'0','0'
9,25,18,'0','0'
8,949,6,30,'HI',6
9,2,7,'0','0'
9,6,16,'0','0'
9,7,3,'0','0'
9,8,3,'0','0'
9,20,2,'0','0'
9,25,31,'0','0'
8,949,7,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,7,2,'HI',3
9,8,1,'0','0'
9,18,10,'0','0'
9,25,11,'0','0'
8,949,7,3,'HI',3
9,7,1,'0','0'
9,15,8,'0','0'
9,25,9,'0','0'
8,949,7,7,'HI',5
9,16,3,'0','0'
9,20,58,'0','0'
9,21,126,'0','0'
9,22,1,'0','0'
9,25,188,'0','0'
8,949,7,8,'HI',2
9,1,2,'0','0'
9,25,2,'0','0'
8,949,7,10,'HI',7
9,17,10,'0','0'
9,18,13,'0','0'
9,20,3,'0','0'
9,21,7,'0','0'
9,22,1,'0','0'
9,24,1,'0','0'
9,25,35,'0','0'
8,949,7,11,'HI',5
9,14,1,'0','0'
9,15,14,'0','0'
9,16,71,'0','0'
9,17,1,'0','0'
9,25,87,'0','0'
8,949,7,13,'HI',4
9,4,1,'0','0'
9,6,1,'0','0'
9,7,1,'0','0'
9,25,3,'0','0'
8,949,7,14,'HI',6
9,13,29,'0','0'
9,14,2,'0','0'
9,15,1,'0','0'
9,23,19,'0','0'
9,24,23,'0','0'
9,25,74,'0','0'
8,949,7,15,'HI',8
9,1,9,'0','0'
9,14,1,'0','0'
9,15,14,'0','0'
9,16,31,'0','0'
9,17,21,'0','0'
9,18,2,'0','0'
9,19,1,'0','0'
9,25,79,'0','0'
8,949,7,16,'HI',11
9,1,2,'0','0'
9,2,2,'0','0'
9,3,3,'0','0'
9,4,1,'0','0'
9,16,22,'0','0'
9,19,9,'0','0'
9,21,13,'0','0'
9,22,37,'0','0'
9,23,8,'0','0'
9,24,2,'0','0'
9,25,99,'0','0'
8,949,7,17,'HI',7
9,2,3,'0','0'
9,3,1,'0','0'
9,17,3,'0','0'
9,20,1,'0','0'
9,21,13,'0','0'
9,22,1,'0','0'
9,25,22,'0','0'
8,949,7,18,'HI',5
9,13,4,'0','0'
9,14,33,'0','0'
9,15,28,'0','0'
9,16,1,'0','0'
9,25,66,'0','0'
8,949,7,19,'HI',2
9,19,4,'0','0'
9,25,4,'0','0'
8,949,7,20,'HI',2
9,14,2,'0','0'
9,25,2,'0','0'
8,949,7,24,'HI',2
9,17,22,'0','0'
9,25,22,'0','0'
8,949,7,30,'HI',2
9,1,3,'0','0'
9,25,3,'0','0'
8,949,7,31,'HI',3
9,22,3,'0','0'
9,23,4,'0','0'
9,25,7,'0','0'
8,949,8,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,8,2,'HI',9
9,8,5,'0','0'
9,9,24,'0','0'
9,10,1,'0','0'
9,14,49,'0','0'
9,16,2,'0','0'
9,17,1,'0','0'
9,23,3,'0','0'
9,24,11,'0','0'
9,25,96,'0','0'
8,949,8,3,'HI',2
9,1,2,'0','0'
9,25,2,'0','0'
8,949,8,6,'HI',3
9,11,33,'0','0'
9,12,8,'0','0'
9,25,41,'0','0'
8,949,8,15,'HI',7
9,11,3,'0','0'
9,20,6,'0','0'
9,21,206,'0','0'
9,22,54,'0','0'
9,23,21,'0','0'
9,24,108,'0','0'
9,25,398,'0','0'
8,949,8,16,'HI',19
9,1,11,'0','0'
9,2,13,'0','0'
9,3,4,'0','0'
9,4,6,'0','0'
9,5,2,'0','0'
9,6,1,'0','0'
9,7,1,'0','0'
9,8,1,'0','0'
9,10,1,'0','0'
9,14,2,'0','0'
9,15,2,'0','0'
9,18,6,'0','0'
9,19,2,'0','0'
9,20,1,'0','0'
9,21,1,'0','0'
9,22,1,'0','0'
9,23,1,'0','0'
9,24,1,'0','0'
9,25,57,'0','0'
8,949,8,17,'HI',11
9,1,1,'0','0'
9,2,31,'0','0'
9,3,50,'0','0'
9,4,52,'0','0'
9,5,1,'0','0'
9,6,1,'0','0'
9,15,1,'0','0'
9,19,1,'0','0'
